HID,Name,Label,Name_kana,Type,Type_desc,Kodomo,TEL,FAX,Add1,Add2,Y,X,Capall,Cap0,Cap1,Cap2,Cap3,Cap4,Cap5,AgeS,AgeE,Owner,Ownership,Open,Close_reg,Close,H24,Extra,Temp,Sick,Holiday,Night,Disabilities,Shanai,Proof,Memo,url,Vacancy,VacancyDate
11,早稲田南町保育園,早稲田南町保育園,わせだみなみちょうほいくえん,認可,保育園　区立（公設公営）,,03-3203-7848,03-3203-7563,東京都新宿区,早稲田南町50,35.70508,139.72229,78,9,10,14,15,15,15,57日,就学前まで,,区立,7:30,18:30,19:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
12,早稲田南町保育園分園,早稲田南町保育園分園,わせだみなみちょうほいくえんぶんえん,認可,保育園　区立（公設民営）,,03-3204-5201,03-3204-5202,東京都新宿区,早稲田南町36,35.70522,139.72401,134,18,20,24,24,24,24,57日,就学前まで,株式会社　プロケア,区立,7:30,18:30,19:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
13,あいじつ子ども園,あいじつ子ども園,あいじつこどもえん,認可,子ども園　区立,Y,03-3266-0189,03-3260-0331,東京都新宿区,北町17,35.69938,139.73463,186,10,18,18,20,60,60,57日,就学前まで,,区立,7:30,18:30,19:30,,Y,Y,,,,Y,,,一時保育（専用室型）あり。,,,
14,大木戸子ども園,大木戸子ども園,おおきどこどもえん,認可,子ども園　区立,Y,03-3358-1431,03-3358-6794,東京都新宿区,四谷4-17,35.68906,139.7164,219,29,36,37,37,40,40,57日,就学前まで,,区立,7:30,18:30,19:30,,Y,Y,,,,Y,,,一時保育（専用室型）・定期利用保育（専用室型）あり。,,,
15,おちごなかい子ども園（乳児園舎）,おちごなかい子ども園（乳児園舎）,おちごなかいこどもえん（にゅうじえんしゃ）,認可,子ども園　区立,Y,03-3361-7000,03-3361-1296,東京都新宿区,中井1-8-12,35.71474,139.68439,48,12,18,18,0,0,0,57日,2歳クラスまで,,区立,7:30,18:30,19:30,,Y,Y,,,,Y,,,一時保育（専用室型）・定期利用保育（専用室型）あり。,,,
16,おちごなかい子ども園（幼児園舎）,おちごなかい子ども園（幼児園舎）,おちごなかいこどもえん（ようじえんしゃ）,認可,子ども園　区立,Y,03-3227-2048,03-3227-2050,東京都新宿区,上落合3-1-6,35.71438,139.6859,78,0,0,0,18,30,30,57日,就学前まで,,区立,7:30,18:30,19:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
17,柏木子ども園（乳児園舎）,柏木子ども園（乳児園舎）,かしわぎこどもえん（にゅうじえんしゃ）,認可,子ども園　区立,Y,03-3369-5855,03-3369-1062,東京都新宿区,北新宿2-3-7,35.69848,139.69037,51,15,18,18,0,0,0,57日,2歳クラスまで,,区立,7:30,18:30,19:30,,Y,Y,,,,Y,,,一時保育（専用室型）・定期利用保育（専用室型）あり。,,,
18,柏木子ども園（幼児園舎）,柏木子ども園（幼児園舎）,かしわぎこどもえん（ようじえんしゃ）,認可,子ども園　区立,Y,03-3227-2118,03-3227-2155,東京都新宿区,北新宿2-１１-１,35.70019,139.68947,70,0,0,0,18,26,26,57日,就学前まで,,区立,7:30,18:30,19:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
19,北新宿子ども園,北新宿子ども園,きたしんじゅくこどもえん,認可,子ども園　区立,Y,03-3365-0225,03-3365-1686,東京都新宿区,北新宿3-20-2,35.70247,139.68927,116,11,17,20,20,24,24,57日,就学前まで,,区立,7:15,18:15,19:15,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
20,しなのまち子ども園,しなのまち子ども園,しなのまちこどもえん,認可,子ども園　区立,Y,03-3357-6853,03-3357-5136,東京都新宿区,信濃町20,35.68306,139.72029,116,12,20,20,20,22,22,57日,就学前まで,,区立,7:30,18:30,19:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
21,戸山第一子ども園,戸山第一子ども園,とやまだいいちこどもえん,認可,子ども園　区立,Y,03-3202-7879,03-3202-7820,東京都新宿区,戸山2-26-101,35.70432,139.71176,110,9,15,18,20,24,24,57日,就学前まで,,区立,7:30,18:30,19:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
22,西落合子ども園,西落合子ども園,にしおちあいこどもえん,認可,子ども園　区立,Y,03-3954-1064,03-3954-2044,東京都新宿区,西落合1-31-24,35.71985,139.67934,115,12,17,18,20,24,24,57日,就学前まで,,区立,7:30,18:30,19:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
23,西新宿子ども園,西新宿子ども園,にししんじゅくこどもえん,認可,子ども園　区立,Y,03-3299-7727,03-3377-9663,東京都新宿区,西新宿4-35-5,35.68607,139.68747,140,10,20,20,30,30,30,57日,就学前まで,,区立,7:30,18:30,19:30,,Y,Y,,,,Y,,,一時保育（専用室型）・定期利用保育（専用室型）あり。,,,
24,四谷子ども園,四谷子ども園,よつやこどもえん,認可,子ども園　区立,Y,03-5369-3775,03-3341-1801,東京都新宿区,四谷2-6,35.68655,139.72513,167,9,18,20,20,50,50,57日,就学前まで,,区立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（専用室型）あり。,,,
25,"アスク神楽坂保育園（0,1歳）","アスク神楽坂保育園（0,1歳）","あすくかぐらざかほいくえん（0,1さい）",認可,保育園　私立,,03-5225-6933,03-5225-6933,東京都新宿区,矢来町98-1 スキップビル1階,35.70272,139.7345,19,9,10,0,0,0,0,57日,1歳クラスまで,株式会社　日本保育サービス,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,http://www.nihonhoiku.co.jp/,,
26,アスク神楽坂保育園（2-5歳）,アスク神楽坂保育園（2-5歳）,あすくかぐらざかほいくえん（2-5さい）,認可,保育園　私立,,03-5206-4250,03-3267-8170,東京都新宿区,矢来町89-2,35.70126,139.73392,60,0,0,15,15,15,15,57日,就学前まで,株式会社　日本保育サービス,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,http://www.nihonhoiku.co.jp/,,
27,アスク新宿南町保育園,アスク新宿南町保育園,あすくしんじゅくみなみちょうほいくえん,認可,保育園　私立,,03-5225-2166,03-6265-0087,東京都新宿区,南町20-3,35.69872,139.73613,89,0,15,18,18,19,19,1歳クラス,就学前まで,株式会社　日本保育サービス,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
28,エイビイシイ保育園（分園）,エイビイシイ保育園（分園）,えいびいしいほいくえん（ぶんえん）,認可,保育園　私立,,03-3232-9633,03-3232-9636,東京都新宿区,大久保2-16-1,35.70333,139.70613,20,5,15,0,0,0,0,43日,1歳クラスまで,社会福祉法人　杉の子会,私立,11:00,22:00,11:00,Y,Y,Y,,,Y,Y,,,夜間就労等をされている方を対象とした保育園です。一時保育（空き利用型）あり。,,,
29,エイビイシイ保育園（本園）,エイビイシイ保育園（本園）,えいびいしいほいくえん（ほんえん）,認可,保育園　私立,,03-3232-9633,03-3232-9636,東京都新宿区,大久保2-11-5,35.70283,139.707,70,10,0,15,15,15,15,43日,就学前まで,社会福祉法人　杉の子会,私立,11:00,22:00,11:00,Y,Y,Y,,,Y,Y,,,夜間就労等をされている方を対象とした保育園です。一時保育（空き利用型）あり。,,,
30,オルト保育園,オルト保育園,おるとほいくえん,認可,保育園　私立,,03-5332-7081,03-5332-7085,東京都新宿区,高田馬場3-40-3,35.71295,139.69614,122,15,20,21,22,22,22,43日,就学前まで,社会福祉法人　新栄会,私立,7:30,18:30,20:30,,Y,Y,Y,Y,,Y,,,一時保育（専用室型）あり。病後児保育あり。,,,
31,キッズタウン下落合保育園,キッズタウン下落合保育園,きっずたうんしもおちあいほいくえん,認可,保育園　私立,,03-3365-1332,03-3351-1334,東京都新宿区,下落合1-9-10,35.71609,139.69901,131,15,20,24,24,24,24,57日,就学前まで,社会福祉法人　こうほうえん,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
32,グローバルキッズ神楽坂園,グローバルキッズ神楽坂園,ぐろーばるきっずかぐらざかえん,認可,保育園　私立,,03-3269-8011,03-6457-5080,東京都新宿区,神楽坂4-8神楽坂プラザビル1階,35.70246,139.73972,60,6,10,11,11,11,11,57日,就学前まで,株式会社　グローバルキッズ,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（専用室型）あり。定期利用保育（空き保育室型）あり。「空き保育室型」は、在籍状況により実施園が変わる場合があります。,,,
33,グローバルキッズ西落合保育園,グローバルキッズ西落合保育園,ぐろーばるきっずにしおちあいほいくえん,認可,保育園　私立,,03-3952-5600,03-3565-6111,東京都新宿区,西落合3-19-9,35.72534,139.67961,96,9,15,18,18,18,18,57日,就学前まで,株式会社　グローバルキッズ,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
34,グローバルキッズ若葉園,グローバルキッズ若葉園,ぐろーばるきっずわかばえん,認可,保育園　私立,,03-3353-2002,03-6380-6786,東京都新宿区,若葉1-9,35.68612,139.7261,42,7,7,7,7,7,7,57日,就学前まで,株式会社　グローバルキッズ,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
35,獅子吼保育園,獅子吼保育園,ししくほいくえん,認可,保育園　私立,,03-3951-0759,03-3951-7509,東京都新宿区,中井2-8-6,35.71777,139.68636,80,0,15,17,16,16,16,1歳クラス,就学前まで,宗教法人　獅子吼会,私立,7:15,18:15,19:15,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
36,至誠会保育園,至誠会保育園,しせいかいほいくえん,認可,保育園　私立,,03-3341-4677,03-3341-4687,東京都新宿区,河田町10-13,35.69821,139.71822,180,30,30,30,30,30,30,43日,就学前まで,社会福祉法人　至誠会,私立,7:00,18:00,21:00,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
37,下落合そらいろ保育園,下落合そらいろ保育園,しもおちあいそらいろほいくえん,認可,保育園　私立,,03-3565-5050,03-3565-5051,東京都新宿区,中落合2-7-5 1階,35.71777,139.69409,80,9,14,14,14,14,15,６か月,就学前まで,社会福祉法人　幌北学園,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（専用室型）あり。定期利用保育（空き保育室型）あり。「空き保育室型」は、在籍状況により実施園が変わる場合があります。,,,
38,新栄保育園,新栄保育園,しんえいほいくえん,認可,保育園　私立,,03-6304-0241,03-6304-0248,東京都新宿区,百人町3-21-14,35.70498,139.69991,148,21,21,21,25,30,30,43日,就学前まで,社会福祉法人　新栄会,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（専用室型）あり。,,,
39,新宿いるま保育園,新宿いるま保育園,しんじゅくいるまほいくえん,認可,保育園　私立,,03-6302-1221,03-6302-1222,東京都新宿区,戸山1-21-1,35.70292,139.71626,137,18,23,24,24,24,24,43日,就学前まで,社会福祉法人　いるま保育会,私立,7:30,18:30,20:30,,Y,Y,Y,,,Y,,,一時保育（専用室型）あり。病児保育あり。,,,
40,新宿こだま保育園,新宿こだま保育園,しんじゅくこだまほいくえん,認可,保育園　私立,,03-5988-7807,03-5988-7758,東京都新宿区,中落合4-25-19,35.71883,139.68202,105,12,15,18,20,20,20,43日,就学前まで,社会福祉法人　呉竹会,私立,7:30,18:30,20:30,,Y,Y,Y,,,Y,,,一時保育（専用室型）あり。病後児保育あり。,,,
41,新宿成子坂愛育園,新宿成子坂愛育園,しんじゅくなるこざかあいいくえん,認可,保育園　私立,,03-3342-6907,03-3342-6057,東京都新宿区,西新宿6-7-39,35.69372,139.69193,130,15,19,24,24,24,24,57日,就学前まで,社会福祉法人　弘全院,私立,7:15,18:15,19:15,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
42,新宿三つの木保育園もりさんかくしかく,新宿三つの木保育園もりさんかくしかく,しんじゅくみつのきほいくえんもりさんかくしかく,認可,保育園　私立,,03-6457-4455,03-6457-4456,東京都新宿区,大京町29,35.68188,139.71545,80,12,12,14,14,14,14,43日,就学前まで,社会福祉法人　東京児童協会,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
43,太陽の子新小川町保育園,太陽の子新小川町保育園,たいようのこしんおがわまちほいくえん,認可,保育園　私立,,03-5579-2348,03-5579-2653,東京都新宿区,新小川町1-8こだまビル2階,35.70458,139.74348,64,6,10,12,12,12,12,57日,就学前まで,長谷川キッズライフ株式会社,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（専用室型）あり。定期利用保育（空き保育室型）あり。「空き保育室型」は、在籍状況により実施園が変わる場合があります。,,,
44,東京母子愛育会保育園,東京母子愛育会保育園,とうきょうぼしあいいくかいほいくえん,認可,保育園　私立,,03-3369-6005,03-3369-6014,東京都新宿区,北新宿4-21-14,35.70736,139.69142,100,6,15,18,21,20,20,8ヶ月,就学前まで,社会福祉法人　東京母子愛育会,私立,7:30,18:30,19:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
45,にじいろ保育園高田馬場西,にじいろ保育園高田馬場西,にじいろほいくえんたかだのばばにし,認可,保育園　私立,,03-6302-1073,03-6302-1074,東京都新宿区,高田馬場1-24-16内田ビル1F,35.71117,139.70538,24,6,6,6,6,0,0,57日,3歳クラスまで,株式会社　サクセスアカデミー,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
46,にじいろ保育園高田馬場東,にじいろ保育園高田馬場東,にじいろほいくえんたかだのばばひがし,認可,保育園　私立,,03-6205-6338,03-6205-6339,東京都新宿区,高田馬場1-16-26,35.71056,139.70648,72,0,12,12,12,18,18,1歳クラス,就学前まで,株式会社　サクセスアカデミー,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
47,にじいろ保育園高田馬場南,にじいろ保育園高田馬場南,にじいろほいくえんたかだのばばみなみ,認可,保育園　私立,,03-6457-6991,03-6457-6992,東京都新宿区,大久保3-8-4住友不動産新宿ｶﾞｰﾃﾞﾝﾀﾜｰｱﾈｯｸｽ2階,35.70884,139.70296,20,5,5,5,5,0,0,57日,3歳クラスまで,株式会社　サクセスアカデミー,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
48,ニチイキッズ曙橋保育園（乳児棟）,ニチイキッズ曙橋保育園（乳児棟）,にちいきっずあけぼのばしほいくえん（にゅうじとう）,認可,保育園　私立,,03-5367-0196,03-5367-0197,東京都新宿区,市谷台町1-3ﾓﾃﾞﾗｰﾄ1階,35.6932,139.72052,29,6,11,12,0,0,0,57日,2歳クラスまで,株式会社　ニチイ学館,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
49,ニチイキッズ曙橋保育園（幼児棟）,ニチイキッズ曙橋保育園（幼児棟）,にちいきっずあけぼのばしほいくえん（ようじとう）,認可,保育園　私立,,03-5366-5127,03-5367-0197,東京都新宿区,愛住町22 第3山田ﾋﾞﾙ1階,35.69176,139.72012,36,0,0,0,12,12,12,57日,就学前まで,株式会社　ニチイ学館,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
50,八幡神社愛育園,八幡神社愛育園,はちまんじんじゃあいいくえん,認可,保育園　私立,,03-3368-3939,03-3368-3737,東京都新宿区,上落合1-26-19,35.71285,139.69092,76,0,14,16,18,14,14,1歳クラス,就学前まで,宗教法人　月見岡八幡神社,私立,7:30,18:30,18:30,,N,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
51,原町みゆき保育園,原町みゆき保育園,はらまちみゆきほいくえん,認可,保育園　私立,,03-3356-2663,03-3356-2664,東京都新宿区,原町2-43,35.69867,139.72423,160,24,25,30,27,27,27,43日,就学前まで,社会福祉法人　幸会,私立,7:30,18:30,20:30,,Y,Y,Y,Y,,Y,,,一時保育（専用室型）あり。病後児保育あり。,,,
52,二葉南元保育園,二葉南元保育園,ふたばなんげんほいくえん,認可,保育園　私立,,03-3351-3819,03-3357-3707,東京都新宿区,南元町4,35.68189,139.72336,110,15,18,18,20,20,19,43日,就学前まで,社会福祉法人　二葉保育園,私立,7:00,18:00,20:00,,Y,Y,,,,Y,,,一時保育（専用室型）あり。定期利用保育（専用室型）あり。,,,
53,保育所まぁむ高田馬場駅前園,保育所まぁむ高田馬場駅前園,ほいくじょまぁむたかだのばばえきまええん,認可,保育園　私立,,03-6279-1105,03-6279-1105,東京都新宿区,高田馬場3-1-5 花川第2ビル2階,35.71477,139.70378,33,6,13,14,0,0,0,57日,2歳クラスまで,株式会社　WITH,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
54,ぽけっとﾗﾝﾄﾞ市ヶ谷保育園,ぽけっとﾗﾝﾄﾞ市ヶ谷保育園,ぽけっとらんどいちがやほいくえん,認可,保育園　私立,,03-5227-7520,03-5227-7521,東京都新宿区,市谷船河原町1市ヶ谷エスワンビル2・3階,35.69719,139.73962,122,0,20,24,26,26,26,1歳クラス,就学前まで,学校法人　三幸学園,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
55,ほっぺるランド牛込,ほっぺるランド牛込,ほっぺるらんどうしごめ,認可,保育園　私立,,03-6265-0841,03-6265-0842,東京都新宿区,北山伏1-2,35.6997,139.73059,102,12,20,20,20,15,15,57日,就学前まで,株式会社　テノ．コーポレーション,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（専用室型）あり。定期利用保育（空き保育室型）あり。「空き保育室型」は、在籍状況により実施園が変わる場合があります。,,,
56,ほっぺるランド神楽坂,ほっぺるランド神楽坂,ほっぺるらんどかぐらざか,認可,保育園　私立,,03-5227-6798,03-5227-6799,東京都新宿区,榎町43-1ユニゾ神楽坂ビル２・3階,35.70454,139.72865,103,9,15,17,17,45 ,45 ,57日,就学前まで,株式会社　テノ．コーポレーション,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,4歳、5歳の定員は合計45人です。一時保育（空き利用型）あり。,,,
57,ほっぺるランド新大久保,ほっぺるランド新大久保,ほっぺるらんどしんおおくぼ,認可,保育園　私立,,03-6380-3920,03-3209-2725,東京都新宿区,大久保1-16-20,35.70021,139.70264,60,12,15,15,18 ,18 ,18 ,57日,就学前まで,株式会社　テノ．コーポレーション,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,3歳、4歳、5歳の定員は合計18人です。一時保育（空き利用型）あり。,,,
58,ポピンズナーサリースクール市ヶ谷,ポピンズナーサリースクール市ヶ谷,ぽぴんずなーさりーすくーるいちがや,認可,保育園　私立,,03-5946-8670,03-5946-8671,東京都新宿区,払方町19-1ｴﾑｼﾞｰ市ヶ谷ﾋﾞﾙ2･３階,35.69667,139.73486,80,9,12,14,15,15,15,57日,就学前まで,株式会社　ポピンズ,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
59,ポピンズナーサリースクール四ッ谷,ポピンズナーサリースクール四ッ谷,ぽぴんずなーさりーすくーるよつや,認可,保育園　私立,,03-5225-2015,03-5225-2016,東京都新宿区,市谷本村町2-10ストリーム市ヶ谷3階,35.69041,139.73172,61,0,10,12,13,13,13,1歳クラス,就学前まで,株式会社　ポピンズ,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
60,よろい保育園,よろい保育園,よろいほいくえん,認可,保育園　私立,,03-3369-3678,03-3371-7346,東京都新宿区,北新宿3-16-18,35.70451,139.69171,60,9,10,12,10,10,9,57日,就学前まで,宗教法人　鎧神社,私立,7:30,18:30,18:30,,N,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
61,あい保育園落合（仮称）,,あいほいくえんおちあい,認可,保育園　私立,,,,東京都新宿区,上落合1-5-2 羽場ビルディング1～3階,35.71143,139.69115,117,12,18,18,23,23,23,43日,就学前まで,株式会社　アイグラン,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,平成３０年４月認可・開設予定,,,
62,アスク薬王寺保育園（仮称）,,あすくやくおうじほいくえん,認可,保育園　私立,,,,東京都新宿区,市谷薬王寺町51,35.69611,139.72418,74,0,10,10,18,18,18,1歳クラス,就学前まで,株式会社　日本保育サービス,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,平成３０年４月認可・開設予定,,,
63,グローバルキッズ愛住町園（仮称）,,ぐろーばるきっずあいずみちょうえん,認可,保育園　私立,,,,東京都新宿区,愛住町6,35.6895,139.71976,80,6,14,15,15,15,15,57日,就学前まで,株式会社　グローバルキッズ,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,平成３０年４月認可・開設予定,,,
64,ほっぺるランド上落合（仮称）,,ほっぺるらんどかみおちあい,認可,保育園　私立,,,,東京都新宿区,上落合1-15,35.71539,139.69319,80,12,16,16,20,8,8,57日,就学前まで,株式会社　テノ．コーポレーション,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,平成３０年５月認可・開設予定,,,
65,ほっぺるランド北新宿（仮称）,,ほっぺるらんどきたしんじゅく,認可,保育園　私立,,,,東京都新宿区,北新宿3-9,35.70213,139.69168,72,0,6,6,10,25,25,1歳クラス,就学前まで,株式会社　テノ．コーポレーション,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,平成３０年４月認可・開設予定,,,
66,ほっぺるランド早稲田鶴巻町（仮称）,,ほっぺるらんどわせだつるまきちょう,認可,保育園　私立,,,,東京都新宿区,早稲田鶴巻町575-1,35.70897,139.72777,60,15,15,15,15,0,0,57日,3歳クラスまで,株式会社　テノ．コーポレーション,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,平成３０年４月認可・開設予定,,,
67,グローバルキッズ 西新宿園（仮称）,グローバルキッズ 西新宿園（仮称）,ぐろーばるきっずにししんじゅくえん,認可,保育園　私立,,,,東京都新宿区,西新宿5-5-1　2階,35.69337,139.68666,51,6,9,9,9,9,9,57日,就学前まで,株式会社　グローバルキッズ,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,平成30年4月認可・開設予定。,,,
68,大久保わかくさ子ども園,大久保わかくさ子ども園,おおくぼわかくさこどもえん,認可,子ども園　私立,Y,03-6265-9990,03-6265-9991,東京都新宿区,大久保1-4-1,35.69986,139.70653,129,15,18,18,18,30,30,43日,就学前まで,社会福祉法人　若草福祉会,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（専用室型）あり。,,,
69,しんえい子ども園もくもく,しんえい子ども園もくもく,しんえいこどもえんもくもく,認可,子ども園　私立,Y,03-5332-5544,03-5332-5545,東京都新宿区,高田馬場4-36-12,35.70926,139.69579,161,21,25,25,30,30,30,43日,就学前まで,社会福祉法人　新栄会,私立,7:00,18:00,20:00,,Y,Y,,,,Y,,,一時保育（専用室型）・定期利用保育（専用室型）あり。,,,
70,新宿せいが子ども園,新宿せいが子ども園,しんじゅくせいがこどもえん,認可,子ども園　私立,Y,03-3954-4190,03-3954-4192,東京都新宿区,下落合2-10-20,35.71773,139.70174,177,21,30,30,32,32,32,43日,就学前まで,社会福祉法人　省我会,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（専用室型）あり。,,,
71,茶々ひがしとやま子ども園,茶々ひがしとやま子ども園,ちゃちゃひがしとやまこどもえん,認可,子ども園　私立,Y,03-5155-4321,03-5155-4322,東京都新宿区,戸山2-34-101,35.70185,139.71126,170,12,18,20,40,40,40,43日,就学前まで,社会福祉法人　あすみ福祉会,私立,7:00,18:00,20:00,,Y,Y,,,,Y,,,一時保育（専用室型）あり。,,,
72,富久ソラのこども園ちいさなうちゅう,富久ソラのこども園ちいさなうちゅう,とみひさそらのこどもえんちいさなうちゅう,認可,子ども園　私立,Y,03-6380-0414,03-6380-0415,東京都新宿区,富久町14-1,35.69252,139.71411,164,12,24,24,34,35,35,43日,就学前まで,社会福祉法人　東京児童協会,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（専用室型）あり。,,,
